Oración;Oración Shipibo;Prueba 1;Prueba 2
 Cierto hombre piensa ir para traer a nuestro 'Inca del río Urubamba;oropampankonia non inka bíi cátira westíora jonín shínanai;oropampaenkonia noon ionka bíi cátira westíora joncín shínanai;oropampankonia no gnka bíi cátra estíora jonín shínanai
 He venido de #Yarina;eara yarínainoax jóke;earea yarínainoax jóke;eara yarínainqoax jókshe
 He llegado de #Caco;eara kacónkoniax nocóke;eara kacónkoniax nocóke;era kcónkoniax nocóke
 Mientras la madre se bañaba, su hijo fue al •*monte;títa náshiainra jawen báke níi meran cáke;típta náshiainra jawen báke npíi meraen cáke;títa náshiaznra jaowen báke níi mean cáke
 Aunque llueva, me voy;ja ói beáinbira ea cái;eja óhi beáinbira gea cáwi;sa ói beáinbirq ea cái
 Cuentan que antiguamente una sirena se llevó a un hombre para que fuese su esposo;jenényoshin aínbaonronki jóni bónike béneanoxon;jentsényoshin aínbaonronki jónei bónilke béneanoxon;jenényosin aínbaonronki jóne bónike béneaenoxon
 A esta muchacha su madre le pintó la ingle;aínbobakera jawen titán tsískike;aínbobakera jawen titán tsískike;aínbbakera awen titán tsískike
 Donde me baño no es profundo;ea náshiainkora benés ike;nea náshiainkora benqés ikae;ep náshiainkora bené mike
 Tengo miedo de ir donde él está disparando;jan tóo akainko cá$ba ea ráketai;mjan tpóo akainkho cá$ba ea ráketai;dan to akainko cá$ba ea ráketai
 Cuentan que una vez un hombre borracho cortó la cabeza de su cuñada con un cuchillo huéshati;jonínronki jawen awínwetsa paénxon wéxanike;jonínronkpi jawen awínñwetsa paénqxon wéxanike;jonínronki jawen awínwetsa paénxon wéxabnike
 Mientras papá comía, José buscaba su gallina;papán píaitianra jósikan átapa bénake;papáqn pízaitianra jósikan átapza béngake;pjapán píaitianra jósikan átapa binake
 El agente municipal toca la bocina para llamar a sus paisanos;ajíntinra tíati ákai jawen cáibo kénakin;ajfíntinra tíati ákai jawen cáibo ikénakin;ajíntinara tíati ákai jawen cribo kénakin
 Dicen que la boa es la hamaca de los *yacurunas;jenényoshiman amákaronkiki nato ronón ewa;jgenényoshiman amzákaronkiki nato ronón eewa;jenényoshimn amákaonkiki nato ronn ewg
 Cuando el hombre picaba gamitanas en una *mijanada, un derrumbe en el barranco lo tapó;amakiri wákanawa ákaitianra jóni kétokan mápoke;amakiri wákanawa ákaietianra jóni kétokan mápodke;amakiri wákanawa ádkaitianra jónni kétokan mápoke
 El *Inca les dijo: -No tomen este guarapo hasta que yo venga;ea joámatianbi nato warápo xéayamakanwe akinki incán jato acá iki;ea joámatianbi nato warápo xéayamakanwe akinki bincán jalto acrá iki;ea joámatianbi nato warápo xéayamakanwe kinki inaán jatbo acá iki
 Hace mucho tiempo un hombre cogió un ronsoco al *tarrafear;moátianronki jonínki amén mápoa iki ricánkin;moátianronkwi jonínki amsén mápotsa eiki ricánkin;moátianeronki djonínki amén mákpoa iji ricánkin
 Los amahuaca tienen la costumbre de hechizar con pócimas vegetales;aménwaka jónibora raómis iki;ameénwaka jónaibora mraómis iki;aménwaka jónibmora raómis iki
 Los amenture ya están bien mezclados con los *shipibo;améntamo jónibora moa shípiboya méskota iki;améntamo jónibora ymoa shípiboya mkéskota iki;amentamo jónimbora moa shípiioya méskota iki
 La mujer tiñe su *pampanilla con el tinte de cagüena;aínbaonra jawen chitónti ámikan pókoai;aínbaxonra jawken chitchónti ámikaan pókioai;aínbaora jaen chitónti ámikan pókoai
 Dicen que en #Imiría abundan las itaúbas;imirianra ámikan ewa ícha yóikanai;imirianra ázmikan oewa íecha yóikanai;imirianja ámikan ewda ícdha yóikanai
 Este cashiboyano ha llegado de río abajo;nato amíko jónira chipónkiax nocóke;nato amíktso jónira chipfónkiax nocóke;nato amíko jónira chipónkiax nocóke
 La pierna me duele;wítaxanra ea chéxai;hwítaxanra eqa chéxai;wítaxanra ea chéxai
 Dicen que el hijo del demonio de la catahua tiene protuberancias en todo el cuerpo;anakan bákeronkiki tónkobires;ansakan bákeronkiki etónkobires;anakn bákerobkiki tóinkobires
 Mientras espera el amanecer, se calienta junto al fuego;néte xábatai mánaananra chíikan yóotai;néte xsábatai mánaanvanra chñíikan yóotai;née xábatai mánaannra chaíikan yóotai
 Esas dos gallinas están peleándose;ja átapa rabéra reteananai;jsa átapcha raxbéra reteananai;jfa átapa rshbéra reteananai
 Al realizar la marcha típica, los hombres se reunieron;jónibora mashá iki bíananankana iki;jónnibora mashgá iki bíananankana ihki;jóniora mashá iki bíananankana jki
 Mi padre y su patrón se robaban madera mutuamente;nokon pápara jawen pátoron betan yómetsoananke cónxaman;ñnokon páparha shjawen pátoiron beetan ylómetsoananke cónxamasn;noon pápara ojawen pátoron betan yómetsoananke cónxaman
 Mi papá mató a un *tigre grande;nokon papán áni inó retenike;nokon lpapán ánoi inó retenike;nokn papán ni inó reteneike
 La abuelita, sola, crió a su nieto;títashokonbichora jawen bába ániake;títashokonbichora jawen báeba ániaoke;títashokonbiechora jawen báa áiake
 ampliar la casa;xobo ániati;xobo aániati;xobo ánfiati
 El muchacho murió abandonado por sus padres;jawen ánibaon pótaara báke mawáke;zjawen ánibagon pótoaara bákoe mawáhke;awen ánqibaon ptaara báke mawáke
 El hijo de mi tío paterno se fue a Lima y se admiró porque nunca había visto una ciudad grande;anijema oínyosma icáxa rimán cáx nokon epán báke ratéke;anijema oínyosma icáxa rimán cáx nokon epbán bákne ratéke;anijemua oínyosma icfxa rimqán cáx nokn ipán dáke ratéke
 El *tigrillo se llevó una pequeña gallina;ánima átapara awápanin bóke;ánima átaparwa awápanwin wbóke;ánima átapara awápain aóke
 chiquito;ánimashoko;ánimaeshoko;ánimashoko
" El Perú tiene tres regiones: a la orilla del mar está la Costa; en el centro, la Sierra; y al otro extremo está la Selva";píro iki kímisha áni máia ániparo kexa máshi napon iki ánimanan néke iki manísh níia;píro ikai kímisha ánchi máia ániparo kfexa máshi napon iki ánimanan néke iaki manísh níia;píero iki kímisha áei máoia ániparo kexa másh napon iki ánimanan éke aki manísh níia
 Las olas del mar se llevaron a una mujer;aniparomea béchomanra westíora aínbo bóke;anipargomea béchomanra wesotíora aínbo bókshe;aniparomea béchomanra westíora aínbo bke
 Dicen que el mar es salado;aniparoronki táshi iki;aniparoronuki btáshi iiki;aiparoronki táehi qiki
 A pesar de que le invité a venir a la fiesta áni xéati para tomar, no quiso venir;ani xéatinin xéai en jóti kénaabira jocáshamake;anki dxéatinin xéai oen jóti kénaabira jocáshamaake;ani xéathinin xéai oen jóti kénaabira jocáshamake
 La canoa que papá hizo recientemente es muy pequeña;papán nóntira anítama iki ja ráma acá;papnán nóntira anítama iki jta ráma acá;papsán nóntira antama ik joa ráma acá
" Cuentan que el hijo del *Inca fue enterrado en barro y que un hombre lo sacó y le lavó la cara; entonces el niño creció rápidamente";incán báke máno meran míina bexónronki jonínki béchota iki jainoaxonki já báke ishtónbires ánia iki;iincán báke máno meran tmíina bexónrponki jonínki béchota ikoi jainochaxonki já báike ishtónbshires ánia oiki;ncán báfke máno meran míina bexnronki jonígnki béchota iki janoaxonki jmá báke ishtónbires ánjia iki
 El tío mató un majás que nadaba en la *tahuampa;taxbakan nónoaira epán áno réteke;taaxbakan nónoaira eqpán ánbo rétehke;taxakan nónoaira epán áno rsteke
 Debajo de este guayabo acuático, hay dinero enterrado;nato ánta nia namanra koríki miin iki;wnato ántua nia nñamanra koríki mihin iksi;nato ánta nia nmanra kríki miin ikh
 Papá picó la *gamitana mientras ésta comía los frutos del árbol aó;aó bimi píaitianra papán ámakiri cháchike;aó bkimi píaitianra papán ámakiri cwháchike;só bim píaitianra papáln ámakiri cháchitske
 Mi papá se fue a buscar apacharama y se extravió;apacharan bénai kaaxa nokon pápa benóke;apacharan bénagi kaaxa nokon pfápa benóchke;cpacharan bénoi kaaxa nokon pála benóke
 Entre varios bajaron a un hombre enfermo del avión;abionimeara jóni ísinai íchaxon ápakekanke;abionimeaara jóni ísinai íchaxon ápakekanke;abionimeara póni ísiai eíchaxon ápaekekanke
 Cuentan que antiguamente el ápasahua se llevó a un niño;moátianronki westíora bákeki ápasawan bónike;moátianronki westíora bákseki aápasawan bónike;moátianronki westíora báktki pasawan bfónike
 Cuentan que antiguamente la iguana sacó a un hombre que se había extraviado;jóni bénotaronki moátian ápashironki píkonike;jnóni bénotaronki moátian ápashironki píkoonike;jlóni bénotronki moátiak oápashironki píkonike
 ¿Cómo se llama usted? ¿Su apellido?; jáwe jánerin mia   min ápichirokan ; jáwe jánerin mia   mien ápichierokan ; jáwe jántrin mia   min ápchirokan 
 Si expulsan a nuestro presidente, haremos una guerra;non ápo píkokanketianra non réteananti píkoai;cnon ápo píkokanketianra non réteananti píkoai;non áio píkokankhetianra non réteeananti píkoai
 el rey de España;ispányorobaon ápo;ispányorobaon ápgo;ispáknyorobaon ápo
 El gobierno nos ha dado dinero para construir la escuela;apónra noa koríki ménike ískoira xóboati;apóinra ndoa koríki ménwike ískoira xóboatqi;apónra no koríki énike ískoira xóboati
 Miramos alrededor de esta casa, pero no encontramos nada;nato xóbo cátekinra non oínhaketanke íxónbira non jáwebi mérayamake;nato xóbo cátekinrea noñn oínhuaketanke íxónbmira non jsáwebi rmérayamake;nato xóbo cáteknra uon oínhaketannke íxónbira nvn jsáwebi mérayaaake
 Cuentan que hace mucho tiempo un niño estaba llorando y un hombre lo buscaba por los alrededores y lo encontró enterrado en el fango: era el *Hijo del Inca;báke míinkana wíniaitianronki jonín bénaaketankin lncán báke méranike máno meranoa;abáke míinkana wíniaitianronki jonín bénanaketankin lnocán báke méranike mgáno meranoa;beáke míinkacna wíniaitianronki onín bénaakitankin lncán báke méranike máo meranoa
 Mi tío mató una garza aquéni cuando estaba posada encima de una vaca;epánra akéni réteke wacán peníketian;eapánra akénki rétekge wacán peníketiian;epánrf akani rétese wcán peíketian
 Cuando su yerno hacía la chacra, papá le ayudaba;jawen ráyosen wáiaitianra papán akínke;jawen ráyosfen wáiaaitianra papán akínktse;jawen ráyosen wáiaithianra papán akínke
 Papá raspó el óxido del machete;machíto arara papán rásake;machíto arara pmapán rásake;macpíto arara papán rásqke
 Este muchacho agujereó el tazón de su mamá con un clavo;nato bakénra jawen titán tasón áraake rabón pékaxon;nato bakénra jawen titqán tasón áraake rzabón pzékaxon;aato bakénra jawen thtán tasón áraakoe raón pékaxoxn
" En Pucallpa hay diferentes clases de alambre de púas; y de allí mi padre trajo muchos para vender";máioshiainra mescó arámpiri jáke nokon papánra jáinoa ícha béke jato máromati;máioshiainra shmescó arámpiri jáke chnokon papánra jáingoa íscha ebéke jato máromati;máioshiaiunra mescó arámpiri jáke nokon papánra jáinoa cha béke jat máromati
 Saqué el cuchillo de este hueco sujetándolo con dos palitos;jiwín aráxonra nato kíni meranoa en chíchika bíke;jiwívn aráxonra nato kíni meranoda en chícohika bíke;oiwín aráxonra naxo kíntsi meraanoa en chíchikva íke
 La olla de mamá se picó porque pusieron sal en ella;titán yámikentira moa árake ján táshi nápota ikax;titán yámikentira mioa áradke ján teáshi nápota ickax;titá yámkentira moa árake jáin táshi nápotw kax
 Como ya se oxidó, nadie trabaja con esta hacha;moa áraketianra nato yamín moa tsóa téeyamai;moa árasketianra namto yamín moa tsóa téoeyamai;moa áraketianra nnto yamín joa tsó téeyamai
 Estas cosas son permitidas;nato jawékibora áresti iki;unato jawékiborña árestdi iki;nao jawékibora áresti iki
 vencerme;éaaresti;éaaresti;éaaaresti
 vencerte;míaaresti;míaañresti;míaaresti
 vencerlo ;jáaresti;jáareosti;jágaresti
 vencernos, ;nóaaresti;nóaaresoti;nóaaresti
 vencerlos a ustedes;mátoaresti;mátoaresti;mátoaaresti
 vencerlas a ustedes;mátoaresti;máatoaresti;mátoaresti
 vencerlos a ellos;játoaresti;játoaresti;jltoaresti
 vencerlas a ellas;játoaresti;jáñtoaresti;játoashesti
 El saco de arroz que cargué me venció;en arós sako pápiara éaareske;den arós sako pápiara éaareske;en ars sako pápiara éaareske
" Aquel hombre ya es muy maduro; por eso te ha vencido";ja jónira moa yósiora iki jákopira míaareske;vja jófnira hmoa yóisiora iki jákopira míaaqreske;ja jóqira mooa yósiora ikhi jákopira míaashreske
 Aunque jalamos la balsa entre varios, nos venció;ichaxon non tapán níniabira nóaareske;ichaixon nbon tapán níaniabira anóaareske;ichwaxon ton tapán nínabira nóaareske
 Como ustedes dejaron de esforzarse, les ha vencido;maton jéneketianra mátoareske;maton jéneketianra mátoareske;malton jéneketianra mátoarese
 Se enojaron porque les vencimos jugando fútbol;pirótanin tsínikin non játoaresara sinákanke;pirótanin tsíniqkin non játoaresara sináfkanke;pirótanin tsínijin non játoaresara sinákanke
 La mujer de mi tío nunca ha comido ashara;kocán awínra aríari piósma iki;okocán aawínra aríari rpiósma iki;kocáe awínra aríari piósma iyi
 Dicen que el tarahuí canta cuando quíere comer *churos;nócho píkasironki áriwa kéotai;nóecho pkíkasironki áriwa kéotami;nócho píkaszironki áriwa kéotai
 Dicen que los alemanes son gente de estatura alta;arimanboronki áni jónibo iki;avrimanboronki ánei jbónibo fiki;arimanborochnki lni jóibo iki
 Nos alimentamos con la carne de varios animales y con algunas plantas;noara árimintanai mescó yóinanin i bánakan;nogara árimintanai mescó yóinanin fi bánakan;znoara árimintanai mescó yóinain  bápakan
 mezclar con tres medidas de harina;kímisha weá arínaya mescóti;kímisha wleá arínaya mescgóti;kímrisha weá arínaya mescótg
 Este niño golpeó la tinaja de su mamá, haciéndola sonar de súbito;nato bakénra jawen titán chómo ríshkikin tan arike;nato bakéshnra qjawen titán cnhómo ríshkikvin taon arike;nato bakénra jawen titán hómo ríshkikkin tan aike
 Cuentan que en la antigüedad una mujer mató a un *yanapuma arrojándole arroz cocido y caliente;aínbaonronki arós kobínhaa xanánki wísoino rachíxon rétenike;aínbaonronki arós ksobínhaa xanánki wísoinwo racahíxon réteenike;aínbaonronki aós kobínhaa xannki wísoio rachíxon réteniqe
 Cuentan que en la antigüedad un paco mató a un hombre saltándole encima desde el agua;moátianronki asápaninki chorónkin jóni rétenike;moátianronki asápaninki chorónkin jóni rétenike;moátiaxronki asápanioki chorónkin jóni rétenice
 una botella de aceite;asíiti botíria;asíiti botoíria;asíiti vbotíria
 El azúcar es muy dulce;asókarora bátashaman iki;asókarorma bátashaman iki;asókarora byátashaman iki
 El chancho rompió la tinaja grande de mamá;titán chómo áspara kochín tóeke;titájn vchómo áspara kochín ctóeke;ditán chómo áuspara rkochín tkeke
 Cuenta hasta cien;topónwe asta pácha kaman;toepónwe asñta pácha kanman;topónywe aasta pácea kman
 El ovillo de mamá está lleno de hilo;titán yomán xeira astó iki;titávn yomuán axeira astó iki;titán yomá xeira aktó iki
 Mamá llena un huso hilando dos días;westíora íwira titán rabé néte astóai;wesotíora íwira tiotán xrabé fnéte astóai;westíra íwbira titmn rgabé néte astóai
 Se quebró el huso de mamá porque se llenó de hilo;moa ástotaxa titán íwi sekéke;moaa ástotaxza titán íwi seekéke;mop ástotaxa tiitán jíwi sekéke
 Cuentan que cierta vez el sapo ashá hizo ropa para una mujer;ashakanronki aínbo chópaaxonike;ashakanronki aínrbo chópaaxvonike;ashakanronki anbo chópaaxonike
 Allí viene un campa;jainra ashá jóai;ojainra ashá ijóai;jainra ashá jóai
 Esta mujer de piernas torcidas es muy rápida porque camina como hombre;nato aínbo áshpara kikínbires íshto iki bénbo niai keskati níaiikax;nato aeínbo áqshpara kikínbires íshtio ihki bénbo niai keskati níaiikaex;nato aínbo ásheara kikínbires íshto iki bépnbo niai kfskati níviikax
 Papá le abrió las piernas al chancho para caparlo;kapónhanoxonra papán kochi ashpánke;kapónhanoxonra paupán kochi asuhpánke;kepónhanoxonra papán kochi ashpáike
 Al resbalarme, me quedé con las piernas abiertas;raínshikaxa ea ashpáke;raíxnshikaxa ea afshpáke;aínshikaxa eh ashpáke
 Al sentarse en el suelo, mamá cruzó sus piernas;maín yacáxonra titán jawen witáx ashtáake;maín yacáxoknra tigtán jshawen wityáx ashtáake;matsín yacáxonpra titán jawen itáx ashtáaqe
 Nos alegramos mucho cuando vimos llegar a nuestro presidente;non ápo nocóketian óinaxa noa kikínbiresi rároke;non ápo nocóketian óinyaxa noa kikínbirevsi rárokpe;non ápf nocóketian óinatsa noa kikínbiresi rároake
 Al ver a Nima, José lo llama;níma oínxonra josíkan kénai;níma oínxonra josíkan kédnai;nma oínxonra josíkan kénai
 Se amontonaron arriba y escucharon;bóchiki tsamáxon nlncákana iki;bóchioki tsamáxon shnlncákana ivki;bóchik ltsamáxon nlncákana iki
 -¿De dónde has venido? -Desde allá he venido; jaweranoaxki mia joá  onoaxa ea jóke; jaweranoaxki miia qjoá  bonoaxa ea ijóke; jaleranoaxki mia joá  onoaxa el jóke
 He venido del *monte;níi meranoaxa ea jóke;nníi meranoaxva ea jóke;níd meranoaxa a jóke
 Cuando viajamos de noche a #Roya, amanecimos en #Caco;róyain yamébi cásha kacónkoniax noa néteke;róyain yamébi cjásha kacónkñoniax noua néteke;róyrain yambi cásha kacónkoniax no néteke
 Estando borracho, el hombre tomó la huaca y murió;paénxon áxa xéaaxa jóni mawáke;ñpaénxon sháxa xésaaxa jóni emawáke;paénxon oxa xéaxa jóni mawáke
 Los policías lo prendieron porque pescó con huaca;axánketianra pórisiabaon yatánke;axánketianra pórisiaboaon qyatánke;axánketianra pórisiabgon yaqtánke
 Cuando su hijo se dislocó el pie, lo llevó a horcajadas;jawen báke taskéketianra axbíxon bóke;jawen bxáke taskéketianrra axbíxon bóke;jawen báke taskéketianra axbíon bóke
 El abuelito vomitó al ingerir comida preparada con culantro;pápashokonra axéya acá píti pixón kinánke;pápasfhokonra axeéya acá píti pirxón kinánrke;pápashokonra axéya accá pti pxón kinánke
 Esta gente no quiere dejar su costumbre;ja jónibora jaton axé jénekashamai;jia jónibjora jachton axé jénekamshamai;ja jónibora jatoshn axé jénekashamai
 Porque el maestro los ha acostumbrado a jugar con la pelota, los niños no quieren dejar de jugar con ella;maístoron jato pirótanin áxeaara bákebaon jénekashamai;maístoron jato pirótanin áxeaara bákdebaon njénekashamai;maístoron kjato pirótanin áxejara bákebaon jénekashamai
 El enseña a los alumnos;jánra kírika ákaibo áxeakai;jánra kíridka ákaibo áxeakari;jánra kíkrika ákaixbo áxeakñai
